name	artists	album	cover	href	added_at
のびしろ	Creepy Nuts	Case	https://i.scdn.co/image/ab67616d0000b2731e41d9ecc493a1341880bc1c	https://api.spotify.com/v1/tracks/3bbIIVIwBoLqVcLebiEJFo	2022-10-17T22:46:34Z
堕天	Creepy Nuts	アンサンブル・プレイ	https://i.scdn.co/image/ab67616d0000b27318285df0b7581a0fcc806afc	https://api.spotify.com/v1/tracks/5HPsZwo40KA3GThqBFZFac	2022-10-17T22:46:25Z
Vacation	Mellow Youth	Vacation	https://i.scdn.co/image/ab67616d0000b27392b29d0802a9a3812b6e53dd	https://api.spotify.com/v1/tracks/64OH5xzD542ZB3MnatFtxY	2022-10-17T22:38:14Z
アイウエ	MAISONdes	アイウエ	https://i.scdn.co/image/ab67616d0000b273978ca7c9b6ed74d2f515e409	https://api.spotify.com/v1/tracks/7rqYTYi70xZBqEMAtSVhXc	2022-10-16T19:58:00Z
Tvアニメ『からかい上手の高木さん3』ノンクレジットed「花」/高木さん(cv 高橋李依)	高橋李依	Tvアニメ『からかい上手の高木さん3』ノンクレジットed「花」/高木さん(cv 高橋李依)	https://i.scdn.co/image/ab67616d0000b2735d46e52bf94e9d5cd5757f24	https://api.spotify.com/v1/tracks/64WZ6Fk4aZXywHMjLoT4a9	2022-10-16T19:57:21Z
天使の絵の具	Mari Iijima	palette(パレット)	https://i.scdn.co/image/ab67616d0000b27357ea0e676b9f37985cb277f2	https://api.spotify.com/v1/tracks/3D8gdGUjOHEm7Xg1drhVNh	2022-10-07T21:47:50Z
シルバームーン・レッドムーン	Mari Iijima	「超時空要塞マクロス」 マクロス	https://i.scdn.co/image/ab67616d0000b273353ce8dcc0c366c415338fd2	https://api.spotify.com/v1/tracks/6voRMzN1649YnZundKqlZX	2022-10-07T21:47:35Z
私の彼はパイロット PARTI	Mari Iijima	「超時空要塞マクロス」 マクロス Vol.II	https://i.scdn.co/image/ab67616d0000b273593e7ad05ff049cbf5503912	https://api.spotify.com/v1/tracks/0ZMfsqFoLJs7jPn1NsMpLC	2022-10-07T21:47:18Z
マイ・ビューティフル・プレイス	Mari Iijima	「超時空要塞マクロス」 マクロス Vol.II	https://i.scdn.co/image/ab67616d0000b273593e7ad05ff049cbf5503912	https://api.spotify.com/v1/tracks/1Tq0y7R1eXNd33RhCvhrn5	2022-10-07T21:46:58Z
O-G LOVE	Mari Iijima	「超時空要塞マクロス」 マクロス	https://i.scdn.co/image/ab67616d0000b273353ce8dcc0c366c415338fd2	https://api.spotify.com/v1/tracks/6WpXTIb1x8mxN0to2CTvXM	2022-10-07T21:43:57Z
