name	artists	album	cover	href	added_at
遠い記憶 (Orchestra Ver.)	Hiroko Moriguchi	GUNDAM SONG COVERS -ORCHESTRA-	https://i.scdn.co/image/ab67616d0000b273d2e9ebe54a6f9d67d5c083ce	https://api.spotify.com/v1/tracks/7K8qLEICRAJN5FFQasSpGz	2025-08-05T23:31:53Z
瑠璃色の地球 (混声４部　カバー)	平松混声合唱団	瑠璃色の地球	https://i.scdn.co/image/ab67616d0000b273e17261bdc4e52161efc7d548	https://api.spotify.com/v1/tracks/5b6ckcpMJUGOBXFoIlRGoa	2025-08-05T23:30:56Z
言わぬが花	RANASOL	言わぬが花	https://i.scdn.co/image/ab67616d0000b273f11c8288c721ac57896d53f3	https://api.spotify.com/v1/tracks/1URiWpmwFH7TZUTOXygcS0	2025-08-05T23:17:22Z
桜の木になろう	AKB48	1830m	https://i.scdn.co/image/ab67616d0000b273a4f984de3fbc0619370f88c8	https://api.spotify.com/v1/tracks/0Ir3T8q1Tp7UJ4kDzCiueh	2025-08-05T23:15:40Z
トロピカルドリーム	三日月眼	FANATIC!	https://i.scdn.co/image/ab67616d0000b2735116030e3adac057f050f8c7	https://api.spotify.com/v1/tracks/1jl5TE6VfuJE1G53cWVBPW	2025-08-05T23:03:59Z
I ～ 私のままで	Minako Honda	GOLDEN DAYS	https://i.scdn.co/image/ab67616d0000b2732dfaf24e4f64f2f04ff49b09	https://api.spotify.com/v1/tracks/4QGLv6TerYoXr7IkQGg2TF	2025-08-05T21:23:20Z
LITTLE BUSTERS	the pillows	LITTLE BUSTERS	https://i.scdn.co/image/ab67616d0000b2735e54d7a3d232f42c39e0d0be	https://api.spotify.com/v1/tracks/6SjMabV2VFw7R6rGGxxkaG	2025-08-02T20:29:38Z
Funny Bunny	the pillows	HAPPY BIVOUAC	https://i.scdn.co/image/ab67616d0000b2735c33c4ddff6a79435af0a3ad	https://api.spotify.com/v1/tracks/540zbclf7PMTNliNeSO6By	2025-08-02T20:28:41Z
前世は武将	Daoko	前世は武将	https://i.scdn.co/image/ab67616d0000b273e264874c3ece9ed5493de0cc	https://api.spotify.com/v1/tracks/0jgP9gaa2c7Dm3aWBsVVoj	2025-08-02T20:23:42Z
にゃんにゃんにゃん	Koresawa	かわいくしながら待ってるね	https://i.scdn.co/image/ab67616d0000b273ea0cb2a808b4ae9da72f7a6f	https://api.spotify.com/v1/tracks/1yWKzPszzODGU60ujavasB	2025-08-01T11:09:30Z
ちきゅう大爆発	P丸様｡	ちきゅう大爆発	https://i.scdn.co/image/ab67616d0000b27364e54373dd30b79d0c823222	https://api.spotify.com/v1/tracks/2xHaKtwoVxS31Z0vgcOJxM	2025-07-30T19:32:22Z
RECOAT (feat. KMNZ)	in the blue shirt	REWIRE	https://i.scdn.co/image/ab67616d0000b2736d812b85f6bdeab35bec2c95	https://api.spotify.com/v1/tracks/2huoEVqQ9LQ2yhz3XmXRKh	2025-07-29T12:20:48Z
MESSAGE -メッセージ-	Bank Band	沿志奏逢 4	https://i.scdn.co/image/ab67616d0000b273b26fc390252ddf63fb738d9b	https://api.spotify.com/v1/tracks/7EceGQFt7NWdGuyrZQQjFt	2025-07-29T11:17:47Z
